iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
0,53,0,ENERGY_DEPLETION,0,1,Yes
0,54,1,ENERGY_DEPLETION,0,8,Yes
0,54,4,ENERGY_DEPLETION,0,4,Yes
0,56,2,ENERGY_DEPLETION,0,4,Yes
0,57,3,ENERGY_DEPLETION,0,7,Yes
0,61,5,ENERGY_DEPLETION,0,6,Yes
0,65,6,ENERGY_DEPLETION,0,7,Yes
0,69,7,ENERGY_DEPLETION,0,4,Yes
0,74,8,ENERGY_DEPLETION,0,4,Yes
1,54,0,ENERGY_DEPLETION,0,7,Yes
1,54,1,ENERGY_DEPLETION,0,4,Yes
1,54,3,ENERGY_DEPLETION,0,6,Yes
1,55,2,ENERGY_DEPLETION,0,6,Yes
1,55,4,ENERGY_DEPLETION,0,6,Yes
1,57,5,ENERGY_DEPLETION,0,3,Yes
1,64,6,ENERGY_DEPLETION,0,3,Yes
1,71,7,ENERGY_DEPLETION,0,7,Yes
1,72,8,ENERGY_DEPLETION,0,2,Yes
2,19,5,STOCHASTIC_FAILURE,92006.24,0,Yes
2,19,5,ENERGY_DEPLETION,0,0,Yes
2,52,0,ENERGY_DEPLETION,0,2,Yes
2,54,1,ENERGY_DEPLETION,0,8,Yes
2,54,2,ENERGY_DEPLETION,0,4,Yes
2,56,3,ENERGY_DEPLETION,0,9,Yes
2,56,4,ENERGY_DEPLETION,0,5,Yes
2,64,6,ENERGY_DEPLETION,0,5,Yes
2,72,7,ENERGY_DEPLETION,0,2,Yes
2,73,8,ENERGY_DEPLETION,0,4,Yes
3,52,1,ENERGY_DEPLETION,0,7,Yes
3,52,3,ENERGY_DEPLETION,0,5,Yes
3,55,2,ENERGY_DEPLETION,0,9,Yes
3,55,4,ENERGY_DEPLETION,0,3,Yes
3,56,0,ENERGY_DEPLETION,0,3,Yes
3,58,7,STOCHASTIC_FAILURE,28423.28,3,Yes
3,58,7,ENERGY_DEPLETION,0,0,Yes
3,60,5,ENERGY_DEPLETION,0,7,Yes
3,62,6,ENERGY_DEPLETION,0,6,Yes
4,54,3,ENERGY_DEPLETION,0,4,Yes
4,56,0,ENERGY_DEPLETION,0,5,Yes
4,56,1,ENERGY_DEPLETION,0,6,Yes
4,56,4,ENERGY_DEPLETION,0,8,Yes
4,60,2,ENERGY_DEPLETION,0,7,Yes
4,61,5,ENERGY_DEPLETION,0,5,Yes
4,62,6,ENERGY_DEPLETION,0,7,Yes
4,66,9,STOCHASTIC_FAILURE,21202.27,7,Yes
4,66,9,ENERGY_DEPLETION,0,0,Yes
4,71,7,ENERGY_DEPLETION,0,4,Yes
4,74,8,ENERGY_DEPLETION,0,3,Yes
5,35,8,STOCHASTIC_FAILURE,87004.04,5,Yes
5,35,8,ENERGY_DEPLETION,0,0,Yes
5,40,6,STOCHASTIC_FAILURE,57120.17,2,Yes
5,40,6,ENERGY_DEPLETION,0,0,Yes
5,52,4,ENERGY_DEPLETION,0,7,Yes
5,53,0,ENERGY_DEPLETION,0,1,Yes
5,55,1,ENERGY_DEPLETION,0,6,Yes
5,56,2,ENERGY_DEPLETION,0,5,Yes
5,56,3,ENERGY_DEPLETION,0,3,Yes
5,59,5,ENERGY_DEPLETION,0,3,Yes
5,72,7,ENERGY_DEPLETION,0,3,Yes
6,12,3,STOCHASTIC_FAILURE,98487.24,2,Yes
6,12,3,ENERGY_DEPLETION,0,0,Yes
6,54,1,ENERGY_DEPLETION,0,7,Yes
6,55,0,ENERGY_DEPLETION,0,2,Yes
6,55,2,ENERGY_DEPLETION,0,3,Yes
6,56,4,ENERGY_DEPLETION,0,4,Yes
6,63,5,ENERGY_DEPLETION,0,4,Yes
6,68,7,ENERGY_DEPLETION,0,0,Yes
6,69,6,ENERGY_DEPLETION,0,4,Yes
7,25,0,STOCHASTIC_FAILURE,65944.21,7,Yes
7,25,0,ENERGY_DEPLETION,0,0,Yes
7,44,2,STOCHASTIC_FAILURE,25834.1,4,Yes
7,44,2,ENERGY_DEPLETION,0,0,Yes
7,55,1,ENERGY_DEPLETION,0,5,Yes
7,56,3,ENERGY_DEPLETION,0,3,Yes
7,58,4,ENERGY_DEPLETION,0,5,Yes
7,59,5,ENERGY_DEPLETION,0,3,Yes
7,63,6,ENERGY_DEPLETION,0,7,Yes
7,67,7,ENERGY_DEPLETION,0,3,Yes
7,73,8,ENERGY_DEPLETION,0,6,Yes
8,54,4,ENERGY_DEPLETION,0,7,Yes
8,55,1,ENERGY_DEPLETION,0,4,Yes
8,56,2,ENERGY_DEPLETION,0,8,Yes
8,57,3,ENERGY_DEPLETION,0,4,Yes
8,58,0,ENERGY_DEPLETION,0,4,Yes
8,64,5,ENERGY_DEPLETION,0,1,Yes
8,66,6,ENERGY_DEPLETION,0,7,Yes
8,69,7,ENERGY_DEPLETION,0,6,Yes
9,52,4,ENERGY_DEPLETION,0,5,Yes
9,53,3,ENERGY_DEPLETION,0,3,Yes
9,54,2,ENERGY_DEPLETION,0,5,Yes
9,55,0,ENERGY_DEPLETION,0,6,Yes
9,56,1,ENERGY_DEPLETION,0,6,Yes
9,60,5,ENERGY_DEPLETION,0,1,Yes
9,62,16,STOCHASTIC_FAILURE,119933.89,6,Yes
9,62,6,ENERGY_DEPLETION,0,6,Yes
9,62,16,ENERGY_DEPLETION,0,0,Yes
9,70,7,ENERGY_DEPLETION,0,4,Yes
10,52,1,ENERGY_DEPLETION,0,4,Yes
10,53,4,ENERGY_DEPLETION,0,7,Yes
10,55,3,ENERGY_DEPLETION,0,6,Yes
10,56,5,ENERGY_DEPLETION,0,9,Yes
10,57,0,ENERGY_DEPLETION,0,3,Yes
10,57,2,ENERGY_DEPLETION,0,4,Yes
10,61,6,ENERGY_DEPLETION,0,2,Yes
10,72,7,ENERGY_DEPLETION,0,7,Yes
10,72,8,ENERGY_DEPLETION,0,5,Yes
11,53,4,ENERGY_DEPLETION,0,6,Yes
11,54,0,ENERGY_DEPLETION,0,5,Yes
11,54,2,ENERGY_DEPLETION,0,6,Yes
11,55,1,ENERGY_DEPLETION,0,1,Yes
11,56,3,ENERGY_DEPLETION,0,7,Yes
11,61,5,ENERGY_DEPLETION,0,7,Yes
11,64,6,ENERGY_DEPLETION,0,2,Yes
11,66,8,STOCHASTIC_FAILURE,18385.08,2,Yes
11,66,8,ENERGY_DEPLETION,0,0,Yes
11,72,7,ENERGY_DEPLETION,0,7,Yes
12,54,0,ENERGY_DEPLETION,0,5,Yes
12,55,3,ENERGY_DEPLETION,0,5,Yes
12,56,4,ENERGY_DEPLETION,0,4,Yes
12,57,1,ENERGY_DEPLETION,0,7,Yes
12,58,2,ENERGY_DEPLETION,0,4,Yes
12,60,5,ENERGY_DEPLETION,0,4,Yes
12,67,6,ENERGY_DEPLETION,0,4,Yes
12,70,7,ENERGY_DEPLETION,0,5,Yes
13,44,12,STOCHASTIC_FAILURE,114867.76,3,Yes
13,44,12,ENERGY_DEPLETION,0,0,Yes
13,53,0,ENERGY_DEPLETION,0,7,Yes
13,53,1,ENERGY_DEPLETION,0,5,Yes
13,53,2,ENERGY_DEPLETION,0,4,Yes
13,53,3,ENERGY_DEPLETION,0,6,Yes
13,54,4,ENERGY_DEPLETION,0,6,Yes
13,59,5,ENERGY_DEPLETION,0,6,Yes
13,66,6,ENERGY_DEPLETION,0,1,Yes
13,69,7,ENERGY_DEPLETION,0,2,Yes
13,73,8,ENERGY_DEPLETION,0,6,Yes
14,53,2,ENERGY_DEPLETION,0,5,Yes
14,54,3,ENERGY_DEPLETION,0,1,Yes
14,56,4,ENERGY_DEPLETION,0,6,Yes
14,57,0,ENERGY_DEPLETION,0,5,Yes
14,58,1,ENERGY_DEPLETION,0,3,Yes
14,59,13,STOCHASTIC_FAILURE,93609.52,4,Yes
14,59,13,ENERGY_DEPLETION,0,0,Yes
14,62,5,ENERGY_DEPLETION,0,1,Yes
14,63,6,ENERGY_DEPLETION,0,5,Yes
14,70,7,ENERGY_DEPLETION,0,6,Yes
14,73,8,ENERGY_DEPLETION,0,6,Yes
15,25,4,STOCHASTIC_FAILURE,66083.84,5,Yes
15,25,4,ENERGY_DEPLETION,0,0,Yes
15,54,2,ENERGY_DEPLETION,0,7,Yes
15,55,3,ENERGY_DEPLETION,0,3,Yes
15,57,1,ENERGY_DEPLETION,0,1,Yes
15,59,0,ENERGY_DEPLETION,0,4,Yes
15,60,5,ENERGY_DEPLETION,0,6,Yes
15,65,6,ENERGY_DEPLETION,0,3,Yes
15,67,7,ENERGY_DEPLETION,0,6,Yes
16,53,0,ENERGY_DEPLETION,0,4,Yes
16,54,1,ENERGY_DEPLETION,0,6,Yes
16,54,2,ENERGY_DEPLETION,0,2,Yes
16,55,3,ENERGY_DEPLETION,0,6,Yes
16,56,4,ENERGY_DEPLETION,0,5,Yes
16,61,5,ENERGY_DEPLETION,0,5,Yes
16,63,6,ENERGY_DEPLETION,0,4,Yes
16,70,7,ENERGY_DEPLETION,0,4,Yes
17,37,7,STOCHASTIC_FAILURE,71252.92,7,Yes
17,37,7,ENERGY_DEPLETION,0,0,Yes
17,54,4,ENERGY_DEPLETION,0,4,Yes
17,55,0,ENERGY_DEPLETION,0,8,Yes
17,55,2,ENERGY_DEPLETION,0,7,Yes
17,56,1,ENERGY_DEPLETION,0,5,Yes
17,56,3,ENERGY_DEPLETION,0,7,Yes
17,59,5,ENERGY_DEPLETION,0,3,Yes
17,65,6,ENERGY_DEPLETION,0,6,Yes
17,73,8,ENERGY_DEPLETION,0,4,Yes
18,53,3,ENERGY_DEPLETION,0,5,Yes
18,54,0,ENERGY_DEPLETION,0,3,Yes
18,56,1,ENERGY_DEPLETION,0,5,Yes
18,58,4,ENERGY_DEPLETION,0,8,Yes
18,59,2,ENERGY_DEPLETION,0,5,Yes
18,62,5,ENERGY_DEPLETION,0,5,Yes
18,62,6,ENERGY_DEPLETION,0,3,Yes
18,70,7,ENERGY_DEPLETION,0,2,Yes
18,75,8,ENERGY_DEPLETION,0,7,Yes
19,52,0,ENERGY_DEPLETION,0,6,Yes
19,54,2,ENERGY_DEPLETION,0,2,Yes
19,57,4,ENERGY_DEPLETION,0,3,Yes
19,58,9,STOCHASTIC_FAILURE,45853.77,8,Yes
19,58,9,ENERGY_DEPLETION,0,0,Yes
19,59,5,ENERGY_DEPLETION,0,3,Yes
19,60,1,ENERGY_DEPLETION,0,3,Yes
19,61,3,ENERGY_DEPLETION,0,1,Yes
19,65,6,ENERGY_DEPLETION,0,4,Yes
19,73,7,ENERGY_DEPLETION,0,2,Yes
19,75,8,ENERGY_DEPLETION,0,4,Yes
20,32,3,STOCHASTIC_FAILURE,50255.15,4,Yes
20,32,3,ENERGY_DEPLETION,0,0,Yes
20,53,2,ENERGY_DEPLETION,0,5,Yes
20,54,1,ENERGY_DEPLETION,0,6,Yes
20,55,0,ENERGY_DEPLETION,0,5,Yes
20,56,4,ENERGY_DEPLETION,0,0,Yes
20,59,5,ENERGY_DEPLETION,0,6,Yes
20,65,6,ENERGY_DEPLETION,0,4,Yes
20,69,7,ENERGY_DEPLETION,0,5,Yes
21,33,6,STOCHASTIC_FAILURE,69751.06,4,Yes
21,33,6,ENERGY_DEPLETION,0,0,Yes
21,55,0,ENERGY_DEPLETION,0,5,Yes
21,55,1,ENERGY_DEPLETION,0,8,Yes
21,55,2,ENERGY_DEPLETION,0,5,Yes
21,55,3,ENERGY_DEPLETION,0,4,Yes
21,56,9,STOCHASTIC_FAILURE,49529.23,4,Yes
21,56,4,ENERGY_DEPLETION,0,5,Yes
21,56,9,ENERGY_DEPLETION,0,0,Yes
21,58,5,ENERGY_DEPLETION,0,8,Yes
21,66,7,ENERGY_DEPLETION,0,7,Yes
21,75,8,ENERGY_DEPLETION,0,5,Yes
22,53,0,ENERGY_DEPLETION,0,4,Yes
22,54,3,ENERGY_DEPLETION,0,11,Yes
22,56,1,ENERGY_DEPLETION,0,8,Yes
22,57,2,ENERGY_DEPLETION,0,6,Yes
22,59,4,ENERGY_DEPLETION,0,2,Yes
22,61,5,ENERGY_DEPLETION,0,3,Yes
22,62,6,ENERGY_DEPLETION,0,6,Yes
22,71,7,ENERGY_DEPLETION,0,4,Yes
22,74,8,ENERGY_DEPLETION,0,7,Yes
23,51,2,ENERGY_DEPLETION,0,3,Yes
23,54,0,ENERGY_DEPLETION,0,0,Yes
23,55,3,ENERGY_DEPLETION,0,4,Yes
23,57,1,ENERGY_DEPLETION,0,1,Yes
23,57,4,ENERGY_DEPLETION,0,5,Yes
23,61,5,ENERGY_DEPLETION,0,5,Yes
23,62,6,ENERGY_DEPLETION,0,2,Yes
23,67,10,STOCHASTIC_FAILURE,40455.38,5,Yes
23,67,10,ENERGY_DEPLETION,0,0,Yes
23,69,7,ENERGY_DEPLETION,0,2,Yes
24,17,5,STOCHASTIC_FAILURE,95014.24,2,Yes
24,17,5,ENERGY_DEPLETION,0,0,Yes
24,52,0,ENERGY_DEPLETION,0,3,Yes
24,52,1,ENERGY_DEPLETION,0,7,Yes
24,54,3,ENERGY_DEPLETION,0,3,Yes
24,54,4,ENERGY_DEPLETION,0,2,Yes
24,59,11,STOCHASTIC_FAILURE,67396.42,8,Yes
24,59,11,ENERGY_DEPLETION,0,0,Yes
24,60,2,ENERGY_DEPLETION,0,4,Yes
24,65,6,ENERGY_DEPLETION,0,5,Yes
24,71,7,ENERGY_DEPLETION,0,6,Yes
25,33,8,STOCHASTIC_FAILURE,92688.97,3,Yes
25,33,8,ENERGY_DEPLETION,0,0,Yes
25,55,0,ENERGY_DEPLETION,0,3,Yes
25,55,2,ENERGY_DEPLETION,0,10,Yes
25,55,4,ENERGY_DEPLETION,0,9,Yes
25,57,3,ENERGY_DEPLETION,0,3,Yes
25,60,1,ENERGY_DEPLETION,0,4,Yes
25,60,5,ENERGY_DEPLETION,0,6,Yes
25,62,6,ENERGY_DEPLETION,0,3,Yes
25,66,7,ENERGY_DEPLETION,0,4,Yes
26,53,1,ENERGY_DEPLETION,0,4,Yes
26,53,2,ENERGY_DEPLETION,0,6,Yes
26,55,3,ENERGY_DEPLETION,0,6,Yes
26,55,4,ENERGY_DEPLETION,0,7,Yes
26,57,0,ENERGY_DEPLETION,0,1,Yes
26,60,5,ENERGY_DEPLETION,0,6,Yes
26,67,6,ENERGY_DEPLETION,0,3,Yes
26,69,7,ENERGY_DEPLETION,0,5,Yes
27,53,7,STOCHASTIC_FAILURE,35312.51,4,Yes
27,53,7,ENERGY_DEPLETION,0,0,Yes
27,54,3,ENERGY_DEPLETION,0,6,Yes
27,54,4,ENERGY_DEPLETION,0,3,Yes
27,55,1,ENERGY_DEPLETION,0,5,Yes
27,56,0,ENERGY_DEPLETION,0,6,Yes
27,57,2,ENERGY_DEPLETION,0,6,Yes
27,59,5,ENERGY_DEPLETION,0,2,Yes
